id,target,reading,english,part_of_speech,topic,source_id,source_entry,level_basis
ko-nikl-25537,가계,,A family as an economic unit. / A way of managing the economy within a family or the family's financial situation. / A status of income and expenses occurring in the life of a family.,noun,economy > economic actors,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=25537,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-25542,가곡,,"A traditional Korean song made out of a poem, which is sung to traditional musical instruments such as flute, gayageum, the Korean harp, geomungo, the Korean lute, etc. / A song made by setting a poem to music, which is sung to a piano accompaniment.",noun,culture > music,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=25542,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-25544,가공,,"The act of making a new product out of raw materials or resources by using technology, power, etc.",noun,economy > economic activities,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=25544,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-25587,가냘프다,,"A person's body, arms, legs, etc., being thin and weak. / Sound being faint and weak.",descriptive verb,people > appearance,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=25587,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-25589,가누다,,"To keep one's body or part of the body steady. / To calm oneself down and recover his/her senses. / To take good care of one's matters. / To control one's words, actions, emotions, etc.",verb,people > physical actions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=25589,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-25590,가느다랗다,,Very thin.,descriptive verb,concepts > shape,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=25590,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-25685,가로수,,Trees planted alongside the streets.,noun,plants and animals > plants,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=25685,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-25699,가르침,,"The act of making people realize what they did not know by teaching them, or what is taught.",noun,education > teaching and learning,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=25699,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-25729,가면,,"A thing that one wears over one's face, made with paper, wood, clay, etc., to conceal or adorn oneself. / The assumed face of a wily person who hides his/her ultimate motive, or such attitude or appearance.",noun,clothing and appearance > hats shoes and accessories,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=25729,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-25782,가쁘다,,Breathing so fast that it is hard to breathe.,descriptive verb,daily life > illness and symptoms,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=25782,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-25783,가사,,Activities related to homemaking.,noun,housing > housework,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=25783,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-25812,가속,,"An increase in speed, or the speed itself.",noun,concepts > speed,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=25812,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-25816,가속화,,The act of speeding up.,noun,concepts > speed,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=25816,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-25886,가시,,"A pointed object whose end looks like a needle. / Small bones of a fish. / The thin, pointed end, usually of the stem of a plant such as a rose, that is stuck in one's skin. / (figurative) An expression used to cause discomfort or to attack the listener. / A thin, pointed, needle-like part protruding from the stem, leaf, fruit, etc.,of a plant.",noun,plants and animals > animal parts,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=25886,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-25894,가시다,,"For a certain state or spirit to disappear or change. / To wash something clean with water, etc.",verb,people > physical actions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=25894,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-25910,가야금,,A traditional Korean 12-string instrument of which the strings are picked with fingers.,noun,culture > music,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=25910,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-25920,가엾다,,Feeling heartfelt sorrow or sympathy.,descriptive verb,people > emotions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=25920,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-25923,가옥,,A building where people live.,noun,housing > housing types,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=25923,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-25967,가장자리,,The end part or outer rim of something.,noun,concepts > location and direction,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=25967,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26038,가창력,,The ability to sing a song.,noun,people > abilities,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26038,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26039,가책,,The act of scolding oneself or others for doing something wrong.,noun,people > emotions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26039,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26042,가축,,Animals that people raise at home to benefit from them.,noun,plants and animals > animals,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26042,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26083,각,,"An edge that is formed where two lines or two sides meet. / The space between two straight lines or planes that start from a common point, or the measured degree of the space.",noun,concepts > shape,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26083,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26112,각본,,"A detailed description of the actors' lines, actions and scenes for a movie or play. / (figurative) A pre-defined plan to do something.",noun,culture > popular culture,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26112,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26130,각양각색,,Various shapes and colors.,noun,concepts > shape,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26130,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26140,각지,,A variety of places or areas.,noun,concepts > regions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26140,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26205,간담회,,A meeting where people shares one another's opinions in a friendly manner.,noun,social life > social activities,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26205,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
