# Original AI-authored teaching material, not an official grammar list. Human review required.
# level|pattern|english|note|example target 1|example English 1|example target 2|example English 2
1|S + 是 + noun|S is a person or thing|Identity uses a noun predicate; do not insert this verb before ordinary adjectives.|我是学生。|I am a student.|这是我的书。|This is my book.
1|S + 很 + adjective|S is adjective; often neutral rather than very|A plain adjective predicate commonly takes a degree adverb; stress changes intensity.|今天很冷。|It is cold today.|这个房间很大。|This room is big.
1|S + 不 + predicate|S does not; S is not|Use for habitual or intended actions and most adjective negation; not possession.|我不喝茶。|I do not drink tea.|他不是老师。|He is not a teacher.
1|S + 有 + noun|S has something|Use for possession; the object need not be definite.|我有一个妹妹。|I have a younger sister.|她有两本书。|She has two books.
1|S + 没有 + noun|S does not have something|Possession takes this negative rather than ordinary predicate negation.|我没有车。|I do not have a car.|这里没有水。|There is no water here.
1|statement + 吗|Is the statement true?|Append to a statement for a neutral yes-no question; retain statement word order.|你是老师吗？|Are you a teacher?|你喝水吗？|Do you drink water?
1|谁 / 什么 / 哪儿 in the answer slot|who / what / where|Question words stay where the answer would occur; do not add a yes-no particle.|他是谁？|Who is he?|你住哪儿？|Where do you live?
1|noun + 呢|What about this person or thing?|A short return question relies on the preceding conversational topic.|我很好，你呢？|I am well. What about you?|我的书在这儿，你的呢？|My book is here. What about yours?
1|possessor + 的 + noun|someone's thing|This links an owner or modifier to a noun; it may be omitted in close family relationships.|这是我的杯子。|This is my cup.|他的老师很好。|His teacher is very good.
1|number + classifier + noun|a specified number of things|Select a classifier with the noun; learn noun-classifier pairs rather than a universal substitute.|我有三本书。|I have three books.|请给我一杯水。|Please give me a glass of water.
1|这 / 那 + classifier + noun|this / that thing|Demonstratives before a counted noun normally take a classifier.|这本书很好。|This book is good.|那个人是我哥哥。|That person is my older brother.
1|S + 在 + place|S is at a place|A location predicate differs from an identity predicate.|老师在学校。|The teacher is at school.|我的书在桌子上。|My book is on the table.
1|place + 有 + noun|There is something at a place|Introduce an indefinite entity using a place-first existential construction.|桌子上有一本书。|There is a book on the table.|学校里有很多学生。|There are many students in the school.
1|time + S + verb / S + time + verb|placing an action in time|Place time before the verb, often before or after the subject; no tense conjugation.|明天我去学校。|Tomorrow I am going to school.|我今天在家学习。|I am studying at home today.
1|S + 在 + place + verb|S does something at a place|Put the location phrase before the main action.|我在家吃饭。|I eat at home.|她在学校工作。|She works at the school.
1|S + 也 + predicate|S also does or is something|Place this adverb before the verb or adjective, not after an object.|我也学汉语。|I also study Chinese.|他也是学生。|He is also a student.
1|plural topic + 都 + predicate|all members do or are something|The scope normally refers back to people or things already introduced.|我们都喝水。|We all drink water.|这些书都很好。|These books are all good.
1|noun + 和 + noun|one noun and another noun|Coordinate noun phrases; do not use this automatically to connect full clauses.|我和姐姐去学校。|My older sister and I go to school.|桌上有茶和水。|There is tea and water on the table.
1|S + 想 + verb|S would like to do something|Express desire or intention; a following verb is not inflected.|我想喝水。|I would like to drink some water.|你想去哪儿？|Where would you like to go?
1|S + 会 + skill verb|S knows how to do something|This use marks a learned skill, not permission or every kind of physical ability.|她会游泳。|She knows how to swim.|我会写这个字。|I can write this character.
1|请 + verb phrase|Please do something|A polite request still needs an appropriate tone and context.|请坐。|Please sit down.|请看这本书。|Please look at this book.
1|predicate + 不 + predicate|whether someone does or is something|A-not-A creates a yes-no question with a verb or adjective; avoid adding another yes-no question particle.|你去不去学校？|Are you going to school?|这个菜好不好吃？|Does this dish taste good?
1|几 + classifier / 多少 + noun|how many / how much|The first commonly expects a small count; the second allows an open quantity.|你有几本书？|How many books do you have?|这个多少钱？|How much does this cost?
1|去 / 来 + place + verb|go / come somewhere to do something|A serial-verb sequence expresses movement followed by purpose.|我去商店买水。|I am going to the shop to buy water.|他来我家吃饭。|He is coming to my home to eat.
1|别 + verb|Do not do something|Use for a direct prohibition or preventive request; soften with context when needed.|别说话。|Do not talk.|别喝这个水。|Do not drink this water.
2|verb + 了 + object|a completed event|Perfective aspect marks an event boundary, not an English past tense in every context.|我买了一本书。|I bought a book.|她喝了两杯茶。|She drank two cups of tea.
2|new situation + 了|a situation has changed|Sentence-final aspect highlights a current change; distinguish it from completed action.|天黑了。|It has become dark.|我不喝咖啡了。|I no longer drink coffee.
2|没 + verb|an event did not happen|Use for negating a completed event; normally omit the perfective suffix.|昨天我没去学校。|I did not go to school yesterday.|她没买那件衣服。|She did not buy that item of clothing.
2|正在 + verb + 呢|an action is happening right now|The final particle is optional; use with ongoing activities rather than static possession.|我正在做饭呢。|I am cooking right now.|他们正在上课。|They are having a lesson right now.
2|verb + 过|having had an experience|Experiential aspect asks whether an event has occurred before, not about one scheduled event.|我去过北京。|I have been to Beijing.|你吃过这个菜吗？|Have you ever eaten this dish?
2|还没 + verb + 呢|not having done something yet|This frames noncompletion relative to an expected event.|我还没吃饭呢。|I have not eaten yet.|她还没回来。|She has not come back yet.
2|要 / 快要 + verb + 了|something is about to happen|Imminence is not the same as a distant plan; explicit time works naturally with the first form.|快要下雨了。|It is about to rain.|火车要开了。|The train is about to depart.
2|先…再…|first do one thing, then another|Sequence planned actions; the later event need not already have occurred.|先洗手，再吃饭。|Wash your hands first, then eat.|我先看书，再写字。|I will read first, then write.
2|一边…一边…|doing two things at the same time|Choose activities that can realistically overlap.|他一边走路，一边听音乐。|He listens to music while walking.|我们一边吃饭，一边聊天。|We chat while eating.
2|因为…所以…|because of one thing, therefore another|Both connectors can appear; in English normally translate with only one causal connector.|因为下雨，所以我没去。|I did not go because it was raining.|因为他很忙，所以没来。|He did not come because he was busy.
2|虽然…但是…|although one thing is true, another contrasts|Present an acknowledged condition followed by a contrast.|虽然很冷，但是我想出去。|Although it is cold, I want to go out.|虽然这本书很长，但是很好看。|Although this book is long, it is a good read.
2|如果…就…|if a condition holds, a result follows|Use hypothetical situations; do not treat the second connector as an automatic future marker.|如果明天下雨，我就不去。|If it rains tomorrow, I will not go.|如果你有时间，就来我家吧。|If you have time, come to my home.
2|A + 比 + B + adjective|A is more adjective than B|The comparison adjective does not ordinarily take the neutral degree adverb used in simple predicates.|今天比昨天热。|Today is hotter than yesterday.|姐姐比我高。|My older sister is taller than I am.
2|A + 没有 + B + adjective|A is not as adjective as B|Negate a comparison without implying the absolute opposite adjective.|我没有他高。|I am not as tall as he is.|这本书没有那本贵。|This book is not as expensive as that one.
