level	pattern	english	note	ja1	en1	ja2	en2
n5	Nです	be a noun; polite identification	Use with nouns and nominal predicates; Japanese usually omits recoverable pronouns.	私は学生です。	I am a student.	今日は休みです。	Today is a day off.
n5	Nではありません	not be a noun; polite negation	Formal negative copula; introduce the common conversational contraction as a later variation.	これは私の傘ではありません。	This is not my umbrella.	父は医者ではありません。	My father is not a doctor.
n5	文＋か	polite question	Add the question particle to a polite sentence; teach who, what, when and where through vocabulary.	ここは駅ですか。	Is this the station?	何時ですか。	What time is it?
n5	Nは	topic; as for a noun	The topic particle is pronounced wa; contrast topic with the grammatical subject.	私は大阪に住んでいます。	I live in Osaka.	この店は安いです。	This shop is inexpensive.
n5	Nが	subject; newly identified information	Use for the answer to a who-or-what question and with existence predicates.	誰が来ますか。	Who is coming?	妹が来ます。	My younger sister is coming.
n5	Nを	direct object	The object particle is normally pronounced o; it follows the affected object.	水を飲みます。	I drink water.	本を読みます。	I read a book.
n5	NのN	possession; noun modification	The first noun narrows or identifies the second; not all uses express ownership.	これは母のかばんです。	This is my mother's bag.	日本語の先生です。	They are a Japanese-language teacher.
n5	Nも	also; too	Usually replaces the topic or subject particle in elementary affirmative clauses.	私も行きます。	I will go too.	この本も面白いです。	This book is interesting too.
n5	場所で	at a place where an action happens	Contrast action location with the location of existence.	図書館で勉強します。	I study at the library.	家で昼ご飯を食べます。	I eat lunch at home.
n5	場所にNがあります	an inanimate thing exists at a place	Use for things and plants; not the ordinary existence predicate for people or animals.	机の上に本があります。	There is a book on the desk.	庭に木があります。	There is a tree in the garden.
n5	場所にNがいます	a person or animal exists at a place	Use for people and animals; teach location and subject word order together.	公園に子供がいます。	There are children in the park.	部屋に猫がいます。	There is a cat in the room.
n5	場所に／へ行きます	go to; move toward a destination	The directional particle written he is pronounced e; destination and purpose are distinct.	明日、京都へ行きます。	I will go to Kyoto tomorrow.	毎日学校に行きます。	I go to school every day.
n5	Nで	by; using a means or instrument	Contrast instrument or transport with action-location uses of the same particle.	電車で会社に行きます。	I go to work by train.	ペンで名前を書きます。	I write my name with a pen.
n5	時点に	at a specific time	Specific clock times and dates commonly take this particle; relative time words often do not.	七時に起きます。	I get up at seven.	月曜日に会いましょう。	Let's meet on Monday.
n5	NからNまで	from a starting point to an endpoint	Use for time or place boundaries; teach that an endpoint need not be a deadline.	九時から五時まで働きます。	I work from nine to five.	駅から学校まで歩きます。	I walk from the station to the school.
n5	NとN	and; an exhaustive noun list	Also introduces a companion, but distinguish that function in practice.	パンと卵を買います。	I will buy bread and eggs.	兄と姉がいます。	I have an older brother and an older sister.
n5	NやNなど	such things as; a non-exhaustive list	The list gives examples rather than claiming to name every item.	机の上に本やノートがあります。	There are things such as books and notebooks on the desk.	りんごやバナナなどを食べます。	I eat fruit such as apples and bananas.
n5	これ／それ／あれ	this; that; that over there	Standalone demonstrative pronouns; choose by physical or conversational distance.	これは新しい時計です。	This is a new watch.	あれは私の自転車です。	That over there is my bicycle.
n5	この／その／あの＋N	this noun; that noun; that noun over there	These demonstratives require a following noun.	この道は静かです。	This street is quiet.	そのかばんは重いですか。	Is that bag heavy?
n5	い形容詞＋です	polite i-adjective predicate	The adjective itself inflects: negative in -kunai and past in -katta; do not attach a plain copula.	この部屋は広いです。	This room is spacious.	昨日は寒かったです。	It was cold yesterday.
n5	な形容詞＋な＋N	na-adjective modifying a noun	Use the linking na before nouns, not directly before the polite copula.	静かな部屋が好きです。	I like quiet rooms.	ここは便利な町です。	This is a convenient town.
