id,target,reading,english,part_of_speech,topic,source_id,source_entry,level_basis
ja-n1-00001,嗚呼,ああ,1. ah!; oh!; alas! | 2. yes; indeed; that is correct | 3. aah; gah; argh (in exasperation) | 4. hey!; yo! | 5. uh huh; yeah yeah; right; gotcha,interjection (kandoushi),general-language,jmdict-waller,JMdict:1565440;waller-n1.csv:line-2,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n1-00002,相,あい,1. together; mutually; reciprocally; equally | 2. adds a nuance of solemnity or formality [formal or literary term],prefix,general-language,jmdict-waller,JMdict:1400800;waller-n1.csv:line-3,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n1-00004,愛想,あいそ,1. amiability; friendliness; affability; sociability | 2. fondness (of someone); affection; liking | 3. compliments; civilities; courtesies; flattery | 4. hospitality; special treatment; entertainment | 5. bill (at a restaurant); check,noun (common) (futsuumeishi),general-language,jmdict-waller,JMdict:1575660;waller-n1.csv:line-5,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n1-00005,相対,あいたい,1. involving only the parties concerned; tete-a-tete,noun (common) (futsuumeishi),general-language,jmdict-waller,JMdict:1401100;waller-n1.csv:line-6,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n1-00006,間柄,あいだがら,"1. relationship; relation; terms (good, friendly, etc.)",noun (common) (futsuumeishi),people-and-relationships,jmdict-waller,JMdict:1215660;waller-n1.csv:line-7,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n1-00007,愛憎,あいぞう,1. love and hate,noun (common) (futsuumeishi),general-language,jmdict-waller,JMdict:1575670;waller-n1.csv:line-8,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n1-00008,合間,あいま,1. interval; break; pause; spare moment | 2. gap (between objects); interval; opening,noun (common) (futsuumeishi),general-language,jmdict-waller,JMdict:1284670;waller-n1.csv:line-9,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n1-00009,敢えて,あえて,"1. purposely (of something needless, unexpected or seemingly counterproductive, etc.); daringly (doing something); deliberately; intentionally [word usually written using kana alone] | 2. not necessarily; not particularly; not especially [word usually written using kana alone] (used with neg. verb) | 3. definitely not [word usually written using kana alone; archaic] (used with neg. verb)",adverb (fukushi),general-language,jmdict-waller,JMdict:1212850;waller-n1.csv:line-10,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n1-00010,仰ぐ,あおぐ,1. to look up (at) | 2. to look up to; to respect; to revere | 3. to ask for (e.g. guidance); to seek; to turn to (someone) for | 4. to depend on; to rely on | 5. to gulp down; to quaff; to drink,Godan verb with 'gu' ending; transitive verb,general-language,jmdict-waller,JMdict:1238780;waller-n1.csv:line-11,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n1-00011,垢,あか,1. dirt; filth; grime,noun (common) (futsuumeishi),general-language,jmdict-waller,JMdict:1277420;waller-n1.csv:line-12,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n1-00012,亜科,あか,1. subfamily [biology],noun (common) (futsuumeishi),general-language,jmdict-waller,JMdict:1149680;waller-n1.csv:line-13,Community estimate: Waller via stephenmk; not an official JLPT word list
ja-n1-00013,銅,あかがね,1. copper (Cu),noun (common) (futsuumeishi),general-language,jmdict-waller,JMdict:1582390;waller-n1.csv:line-14,Community estimate: Waller via stephenmk; not an official JLPT word list
