level	pattern	english	note	example1	translation1	example2	translation2
1	N이에요 / N예요	be N; polite identification	Use the first form after a final consonant and the second after a vowel; do not insert a subject when context makes it unnecessary.	저는 학생이에요.	I am a student.	여기는 학교예요.	This place is a school.
1	N이/가 아니에요	not be N	The negative copula takes the subject particle on the noun being denied.	저는 의사가 아니에요.	I am not a doctor.	이것은 제 가방이 아니에요.	This is not my bag.
1	N은/는	as for N; topic or contrast	The topic particle introduces or contrasts a topic; it is not interchangeable with the subject particle in every context.	저는 서울에 살아요.	I live in Seoul.	커피는 좋아해요.	As for coffee, I like it.
1	N이/가	N as grammatical subject	Choose the consonant-final or vowel-final form; new information and identification often use this particle.	비가 와요.	It is raining.	친구가 왔어요.	A friend arrived.
1	N을/를	N as direct object	Use after an object; it may be omitted in casual conversation but retain it in early controlled practice.	책을 읽어요.	I read a book.	물을 마셔요.	I drink water.
1	N에 있다 / 없다	be / not be at N	Existence and location use this particle; actions at a place normally use the action-location particle instead.	책이 책상 위에 있어요.	The book is on the desk.	지금 집에 없어요.	I am not at home now.
1	N에서	at N; location of an action	Distinguish the place where an action occurs from a destination or location of existence.	도서관에서 공부해요.	I study at the library.	식당에서 점심을 먹어요.	I eat lunch at a restaurant.
1	N에 가다 / 오다	go / come to N	The particle marks a destination; the motion verb is chosen relative to the conversational viewpoint.	학교에 가요.	I go to school.	친구가 우리 집에 와요.	A friend comes to our house.
1	N에	at N; time of an event	Used with clock times and many calendar expressions, but not normally with today, tomorrow, or yesterday.	아홉 시에 수업이 시작해요.	Class starts at nine.	월요일에 만나요.	Let's meet on Monday.
1	N의	N's; of N	The possessive particle is often omitted in speech; humble and familiar possessive pronouns have contracted forms.	이것은 친구의 책이에요.	This is a friend's book.	학교의 이름을 알아요.	I know the name of the school.
1	N하고 / N과/와	N and; with N	The first is common in conversation; the latter pair is frequent in writing and more formal contexts.	빵하고 우유를 사요.	I buy bread and milk.	친구와 영화를 봐요.	I watch a movie with a friend.
1	N도	N too; also N	This particle often replaces the subject or object particle; other combinations depend on the particle.	저도 학생이에요.	I am a student too.	오늘도 운동해요.	I exercise today too.
1	N만	only N	Focuses on the noun; compare its scope with a negative sentence when interpreting restrictions.	물만 마셔요.	I drink only water.	친구 한 명만 왔어요.	Only one friend came.
1	N부터 N까지	from N to N; starting and ending bounds	Useful with time; place-to-place routes also use a source-location particle.	아홉 시부터 다섯 시까지 일해요.	I work from nine to five.	월요일부터 금요일까지 학교에 가요.	I go to school from Monday to Friday.
1	N에서 N까지	from N to N; route	Use for a geographic starting point and endpoint.	집에서 학교까지 걸어요.	I walk from home to school.	서울에서 부산까지 기차로 가요.	I go from Seoul to Busan by train.
1	V/A-아요 / -어요 / -해요	polite present statement or question	Vowel harmony and common contractions determine the surface form; descriptive verbs do not need an extra copula.	매일 운동해요.	I exercise every day.	오늘 날씨가 좋아요.	The weather is nice today.
1	V/A-ㅂ니다 / -습니다	formal polite statement	Choose by whether the stem ends in a vowel or consonant; stems ending in the liquid consonant need a deletion rule.	저는 한국어를 배웁니다.	I learn Korean.	이 방은 조용합니다.	This room is quiet.
1	V/A-았어요 / -었어요 / -했어요	polite past tense	The past marker attaches to the stem before the polite ending; practice irregular stems as word families.	어제 친구를 만났어요.	I met a friend yesterday.	지난주에 많이 바빴어요.	I was very busy last week.
1	V-(으)ㄹ 거예요	will; be going to; expected future	Expresses plans or predictions; avoid treating it as a mechanical equivalent of every English future.	내일 책을 읽을 거예요.	I am going to read a book tomorrow.	주말에 쉴 거예요.	I will rest on the weekend.
1	V-고 싶어요	want to V	Direct statements usually concern the speaker; ask about the listener's wishes rather than asserting another person's internal state.	한국에 가고 싶어요.	I want to go to Korea.	무엇을 먹고 싶어요?	What would you like to eat?
